Geocode,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent
35049001203,Santa Fe, Agua Fria Village  ,0.19,3,162,"3,031",0.053447707
35049001204,Santa Fe, Agua Fria Village  ,0.18,3,319,"6,110",0.052209493
35049001205,Santa Fe, Airport Road   ,0.17,3,342,"5,652",0.060509554
35049001301,Santa Fe, Airport Road   ,0.06,2,19,"1,746",0.010882016
35049001302,Santa Fe, Airport Road   ,0.17,3,116,"3,038",0.038183015
35049001303,Santa Fe, Airport Road   ,0.13,3,225,"7,510",0.029960053
35049001304,Santa Fe, Airport Road   ,0.25,4,31,961,0.032258065
35049010102,Santa Fe, Pueblos Plus   ,0.21,4,55,"5,014",0.010969286
35049010203,Santa Fe, Pueblos Plus   ,0.18,3,2,"1,317",0.001518603
35049010204,Santa Fe, Pueblos Plus   ,0.04,1,21,"2,205",0.00952381
35049010304,Santa Fe, Opera Vicinity   ,0.03,1,70,"3,864",0.018115942
35049010308,Santa Fe, South    ,0.26,4,46,"2,447",0.018798529
35049010309,Santa Fe, South    ,0.1,2,6,"1,824",0.003289474
35049010310,Santa Fe, South    ,0.1,2,18,"1,345",0.0133829
35049010311,Santa Fe, South    ,0.04,1,28,"4,380",0.006392694
35049010312,Santa Fe, South    ,0.15,3,37,"4,714",0.007848961
35049010314,Santa Fe, Bellamah/Stamm    ,0.1,3,40,"1,690",0.023668639
35049010315,Santa Fe, Bellamah/Stamm    ,0.08,2,27,"2,668",0.01011994
35049010316,Santa Fe, Bellamah/Stamm    ,0.07,2,27,"1,617",0.016697588
35049010400,Santa Fe, East Foothills + Eldorado ,0.04,1,24,"3,126",0.007677543
35049010500,Santa Fe, East Foothills + Eldorado ,0.06,2,16,"1,821",0.008786381
35049010601,Santa Fe, East Foothills + Eldorado ,0.07,2,104,"4,839",0.021492044
35049010602,Santa Fe, East Foothills + Eldorado ,0.07,2,4,"3,189",0.001254312
35049010603,Santa Fe, East Foothills + Eldorado ,0.12,3,35,"2,447",0.014303228
35049010700,Santa Fe, East Foothills + Eldorado ,0.07,2,37,"5,434",0.00680898
35049010800,Santa Fe, East Foothills + Eldorado ,0.09,2,31,"2,885",0.010745234
35049010900,Santa Fe, Opera Vicinity   ,0.09,2,63,"2,886",0.021829522
35049940300,Santa Fe, Pueblos Plus   ,0.14,3,9,"1,843",0.004883342
