GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,ACS_Population,White,Black,AIAN,Hispanic,ASIAN,Other,Percent_ACS_Population,Percent_White,Percent_Black,Percent_AIAN,Percent_Hispanic,Percent_Asian,Other_Percent
35001003717,Bernalillo,Montgomery Moon,0.11,3,80,"5,415",0.01477378,5327,3075,35,277,1584,288,68,70.26,57.72,0.66,5.2,29.74,5.41,1.28
35001003718,Bernalillo,Montgomery Moon,0.1,2,35,"2,472",0.01415858,2527,1403,60,53,574,372,65,77.29,55.52,2.37,2.1,22.71,14.72,2.57
35001003719,Bernalillo,Academy Tramway,0.15,3,111,"5,162",0.02150329,5795,3197,265,249,1796,231,57,69.01,55.17,4.57,4.3,30.99,3.99,0.98
35001003721,Bernalillo,Academy Tramway,0.02,1,48,"6,320",0.00759494,6812,4919,242,31,1044,385,191,84.67,72.21,3.55,0.46,15.33,5.65,2.8
35001003722,Bernalillo,Paseo Louisiana,0.12,3,114,"6,485",0.01757903,6430,3047,19,0,2296,750,318,64.29,47.39,0.3,0,35.71,11.66,4.94
35001003723,Bernalillo,Paseo Louisiana,0.11,3,97,"5,704",0.01700561,5760,3250,151,262,1832,196,69,68.19,56.42,2.62,4.55,31.81,3.4,1.2
35001003724,Bernalillo,Paseo Louisiana,0.08,2,35,"3,330",0.01051051,3181,2145,36,35,821,87,57,74.19,67.43,1.13,1.1,25.81,2.73,1.79
35001003725,Bernalillo,Paseo Louisiana,0.11,3,55,"4,719",0.01165501,4096,2662,63,130,1162,0,79,71.63,64.99,1.54,3.17,28.37,0,1.93
35001003726,Bernalillo,Academy Tramway,0.04,1,17,"2,393",0.00710405,2603,2059,0,0,374,147,23,85.63,79.1,0,0,14.37,5.65,0.88
35001003728,Bernalillo,Academy Tramway,0.13,3,82,"4,549",0.01802594,4192,2362,45,171,1220,86,308,70.9,56.35,1.07,4.08,29.1,2.05,7.35
35001003729,Bernalillo,Academy Tramway,0.05,1,24,"1,819",0.01319406,2190,1482,18,26,517,135,12,76.39,67.67,0.82,1.19,23.61,6.16,0.55
35001003730,Bernalillo,Paseo Ventura,0.02,1,54,"4,925",0.01096447,4630,3051,110,0,880,474,115,80.99,65.9,2.38,0,19.01,10.24,2.48
